,file,ph seq,transcript
52,MAN_AH_150_Z59A,sil z_B iy_I r_I ow_E f_B ay_I v_E n_B ay_I n_E sil,
53,MAN_AH_151_Z7A,sil z_B iy_I r_I ow_E s_B eh_I v_I ah_I n_E sil,
54,MAN_AH_152_Z877A,sil z_B iy_I r_I ow_E ey_B t_E sil s_B eh_I v_I ah_I n_E s_B eh_I v_I ah_I n_E sil,
55,MAN_AH_153_ZA,sil z_B iy_I r_I ow_E sil,
56,MAN_AH_154_ZB,sil z_B iy_I r_I ow_E sil,
57,MAN_AH_155_ZZA,sil z_B iy_I r_I ow_E z_B iy_I r_I ow_E sil,
58,MAN_AH_79_3O33951A,sil th_B r_I iy_E ow_S th_B r_I iy_E sil th_B r_I iy_E n_B ay_I n_E f_B ay_I v_E hh_B w_I ah_I n_E sil, nine five
59,MAN_AH_80_6B,sil s_B ih_I k_I s_E sil,
60,MAN_AH_81_111A,sil hh_B w_I ah_I n_E hh_B w_I ah_I n_E hh_B w_I ah_I n_E sil, one
61,MAN_AH_82_139OA,sil hh_B w_I ah_I n_E th_B r_I iy_E n_B ay_I n_E ow_S sil,
62,MAN_AH_83_155A,sil hh_B w_I ah_I n_E f_B ay_I v_E f_B ay_I v_E sil,
63,MAN_AH_84_1688A,sil hh_B w_I ah_I n_E s_B ih_I k_I s_E ey_B t_E ey_B t_E sil,
64,MAN_AH_85_1A,sil hh_B w_I ah_I n_E sil,
65,MAN_AH_86_1B,sil hh_B w_I ah_I n_E sil,
66,MAN_AH_87_1ZA,sil hh_B w_I ah_I n_E z_B iy_I r_I ow_E sil,
67,MAN_AH_88_24Z982ZA,sil t_B uw_E f_B ao_I r_E z_B iy_I r_I ow_E sil n_B ay_I n_E ey_B t_E sil t_B uw_E z_B iy_I r_I ow_E sil, zero oh
68,MAN_AH_89_25896O4A,sil t_B uw_E f_B ay_I v_E ey_B t_E sil n_B ay_I n_E sil s_B ih_I k_I s_E ow_S f_B ao_I r_E sil, eight
69,MAN_AH_90_27O6571A,sil t_B uw_E s_B eh_I v_I ah_I n_E ow_S sil s_B ih_I k_I s_E f_B ay_I v_E s_B eh_I v_I ah_I n_E hh_B w_I ah_I n_E sil,
70,MAN_AH_91_2934ZA,sil t_B uw_E n_B ay_I n_E th_B r_I iy_E f_B ao_I r_E z_B iy_I r_I ow_E sil, three four zero
71,MAN_AH_92_2A,sil t_B uw_E sil,
72,MAN_AH_93_2B,sil t_B uw_E sil,
73,MAN_AH_94_2O5A,sil t_B uw_E ow_S f_B ay_I v_E sil,
74,MAN_AH_95_31O2A,sil th_B r_I iy_E hh_B w_I ah_I n_E ow_S t_B uw_E sil,
75,MAN_AH_96_35OA,sil th_B r_I iy_E f_B ay_I v_E ow_S sil,
76,MAN_AH_97_3781A,sil th_B r_I iy_E s_B eh_I v_I ah_I n_E ey_B t_E hh_B w_I ah_I n_E sil, one
77,MAN_AH_98_3A,sil th_B r_I iy_E sil,
78,MAN_AH_99_3B,sil th_B r_I iy_E sil,
79,MAN_AR_156_3A,sil th_B r_I iy_E sil,
80,MAN_AR_157_699A,sil s_B ih_I k_I s_E n_B ay_I n_E n_B ay_I n_E sil,
81,MAN_AR_158_13ZZ637A,sil hh_B w_I ah_I n_E th_B r_I iy_E z_B iy_I r_I ow_E sil z_B iy_I r_I ow_E s_B ih_I k_I s_E th_B r_I iy_E s_B eh_I v_I ah_I n_E sil, seven
82,MAN_AR_159_16A,sil hh_B w_I ah_I n_E s_B ih_I k_I s_E sil,
83,MAN_AR_160_19A,sil hh_B w_I ah_I n_E n_B ay_I n_E sil,
84,MAN_AR_161_19Z7A,sil hh_B w_I ah_I n_E n_B ay_I n_E z_B iy_I r_I ow_E s_B eh_I v_I ah_I n_E sil, seven
85,MAN_AR_162_1A,sil hh_B w_I ah_I n_E sil,
86,MAN_AR_163_1B,sil hh_B w_I ah_I n_E sil,
87,MAN_AR_164_1O66739A,sil hh_B w_I ah_I n_E ow_S s_B ih_I k_I s_E sil s_B ih_I k_I s_E s_B eh_I v_I ah_I n_E th_B r_I iy_E n_B ay_I n_E sil, six
88,MAN_AR_165_2392A,sil t_B uw_E th_B r_I iy_E n_B ay_I n_E t_B uw_E sil, nine two
89,MAN_AR_166_2554454A,sil t_B uw_E f_B ay_I v_E f_B ay_I v_E sil f_B ao_I r_E f_B ao_I r_E f_B ay_I v_E f_B ao_I r_E sil, five
90,MAN_AR_167_28A,sil t_B uw_E ey_B t_E sil,
91,MAN_AR_168_2A,sil t_B uw_E sil,
92,MAN_AR_169_2B,sil t_B uw_E sil,
93,MAN_AR_170_2O15OA,sil t_B uw_E ow_S hh_B w_I ah_I n_E f_B ay_I v_E sil ow_S sil, oh
94,MAN_AR_171_2O2A,sil t_B uw_E ow_S t_B uw_E sil,
95,MAN_AR_172_31Z5881A,sil th_B r_I iy_E hh_B w_I ah_I n_E z_B iy_I r_I ow_E sil f_B ay_I v_E sil ey_B t_E ey_B t_E hh_B w_I ah_I n_E sil,
96,MAN_AR_173_3268A,sil th_B r_I iy_E t_B uw_E s_B ih_I k_I s_E ey_B t_E sil, six eight
97,MAN_AR_174_331A,sil th_B r_I iy_E th_B r_I iy_E hh_B w_I ah_I n_E sil,
98,MAN_AR_175_35A,sil th_B r_I iy_E f_B ay_I v_E sil,
99,MAN_AR_176_3652A,sil th_B r_I iy_E s_B ih_I k_I s_E f_B ay_I v_E t_B uw_E sil,
100,MAN_AR_177_3B,sil th_B r_I iy_E sil,
101,MAN_AR_178_42722A,sil f_B ao_I r_E t_B uw_E s_B eh_I v_I ah_I n_E t_B uw_E t_B uw_E sil, seven two two
102,MAN_AR_179_4538A,sil f_B ao_I r_E f_B ay_I v_E th_B r_I iy_E ey_B t_E sil,
103,MAN_AR_180_46211Z8A,sil f_B ao_I r_E s_B ih_I k_I s_E t_B uw_E sil hh_B w_I ah_I n_E hh_B w_I ah_I n_E z_B iy_I r_I ow_E ey_B t_E sil, one
104,MAN_AR_181_47OA,sil f_B ao_I r_E s_B eh_I v_I ah_I n_E sil ow_S sil,
105,MAN_AR_182_4A,sil f_B ao_I r_E sil,
106,MAN_AR_183_4B,sil f_B ao_I r_E sil,
107,MAN_AR_184_4Z3Z9A,sil f_B ao_I r_E z_B iy_I r_I ow_E th_B r_I iy_E z_B iy_I r_I ow_E n_B ay_I n_E sil,
108,MAN_AR_185_5376869A,sil f_B ay_I v_E th_B r_I iy_E s_B eh_I v_I ah_I n_E sil s_B ih_I k_I s_E ey_B t_E s_B ih_I k_I s_E n_B ay_I n_E sil,
109,MAN_AR_186_563ZZA,sil f_B ay_I v_E s_B ih_I k_I s_E th_B r_I iy_E sil z_B iy_I r_I ow_E z_B iy_I r_I ow_E sil, zero zero
110,MAN_AR_187_59434A,sil f_B ay_I v_E n_B ay_I n_E f_B ao_I r_E th_B r_I iy_E f_B ao_I r_E sil,
111,MAN_AR_188_5A,sil f_B ay_I v_E sil,
112,MAN_AR_189_5B,sil f_B ay_I v_E sil,
113,MAN_AR_190_5OA,sil f_B ay_I v_E sil ow_S sil,
114,MAN_AR_191_5ZA,sil f_B ay_I v_E z_B iy_I r_I ow_E sil,
115,MAN_AR_192_61O6OA,sil s_B ih_I k_I s_E hh_B w_I ah_I n_E sil ow_S sil s_B ih_I k_I s_E sil ow_S sil, one
116,MAN_AR_193_626OA,sil s_B ih_I k_I s_E t_B uw_E s_B ih_I k_I s_E sil ow_S sil, oh
117,MAN_AR_194_6414A,sil s_B ih_I k_I s_E f_B ao_I r_E hh_B w_I ah_I n_E f_B ao_I r_E sil, four
118,MAN_AR_195_66O1348A,sil s_B ih_I k_I s_E s_B ih_I k_I s_E sil ow_S sil hh_B w_I ah_I n_E th_B r_I iy_E f_B ao_I r_E ey_B t_E sil,
119,MAN_AR_196_6A,sil s_B ih_I k_I s_E sil,
120,MAN_AR_197_6B,sil s_B ih_I k_I s_E sil,
121,MAN_AR_198_7529A,sil s_B eh_I v_I ah_I n_E f_B ay_I v_E t_B uw_E n_B ay_I n_E sil, five two nine
122,MAN_AR_199_7567979A,sil s_B eh_I v_I ah_I n_E sil f_B ay_I v_E s_B ih_I k_I s_E sil s_B eh_I v_I ah_I n_E n_B ay_I n_E s_B eh_I v_I ah_I n_E n_B ay_I n_E sil,
123,MAN_AR_200_7764214A,sil s_B eh_I v_I ah_I n_E s_B eh_I v_I ah_I n_E s_B ih_I k_I s_E sil f_B ao_I r_E t_B uw_E hh_B w_I ah_I n_E f_B ao_I r_E sil, seven six
124,MAN_AR_201_7A,sil s_B eh_I v_I ah_I n_E sil,
125,MAN_AR_202_7B,sil s_B eh_I v_I ah_I n_E sil,
126,MAN_AR_203_7O78A,sil s_B eh_I v_I ah_I n_E sil ow_S s_B eh_I v_I ah_I n_E ey_B t_E sil,
127,MAN_AR_204_7Z7A,sil s_B eh_I v_I ah_I n_E z_B iy_I r_I ow_E s_B eh_I v_I ah_I n_E sil, zero seven
128,MAN_AR_205_818A,sil ey_B t_E hh_B w_I ah_I n_E sil ey_B t_E sil,
129,MAN_AR_206_8382A,sil ey_B t_E th_B r_I iy_E ey_B t_E t_B uw_E sil, eight two
130,MAN_AR_207_89518A,sil ey_B t_E n_B ay_I n_E f_B ay_I v_E hh_B w_I ah_I n_E ey_B t_E sil, five
131,MAN_AR_208_8A,sil ey_B t_E sil,
132,MAN_AR_209_8B,sil ey_B t_E sil,
133,MAN_AR_210_8Z11243A,sil ey_B t_E z_B iy_I r_I ow_E hh_B w_I ah_I n_E sil hh_B w_I ah_I n_E t_B uw_E f_B ao_I r_E th_B r_I iy_E sil, oh one two four three
134,MAN_AR_211_8Z859A,sil ey_B t_E z_B iy_I r_I ow_E ey_B t_E f_B ay_I v_E n_B ay_I n_E sil, oh eight five nine
135,MAN_AR_212_91A,sil n_B ay_I n_E hh_B w_I ah_I n_E sil,
136,MAN_AR_213_92Z4ZA,sil n_B ay_I n_E t_B uw_E z_B iy_I r_I ow_E f_B ao_I r_E z_B iy_I r_I ow_E sil, zero four zero
137,MAN_AR_214_93OA,sil n_B ay_I n_E th_B r_I iy_E ow_S sil,
138,MAN_AR_215_988O9A,sil n_B ay_I n_E ey_B t_E ey_B t_E sil ow_S n_B ay_I n_E sil, eight
139,MAN_AR_216_9A,sil n_B ay_I n_E sil,
140,MAN_AR_217_9B,sil n_B ay_I n_E sil,
141,MAN_AR_218_9O729A,sil n_B ay_I n_E ow_S s_B eh_I v_I ah_I n_E t_B uw_E n_B ay_I n_E sil, nine
142,MAN_AR_219_O3A,sil ow_S th_B r_I iy_E sil,
143,MAN_AR_220_O4A,sil ow_S f_B ao_I r_E sil,
144,MAN_AR_221_O4B,sil ow_S f_B ao_I r_E sil,
145,MAN_AR_222_O878A,sil ow_S sil ey_B t_E s_B eh_I v_I ah_I n_E ey_B t_E sil,
146,MAN_AR_223_OA,sil ow_S sil,
147,MAN_AR_224_OB,sil ow_S sil,
148,MAN_AR_225_OO5A,sil ow_S ow_S f_B ay_I v_E sil,
149,MAN_AR_226_Z1A,sil z_B iy_I r_I ow_E hh_B w_I ah_I n_E sil, one
150,MAN_AR_227_Z324849A,sil z_B iy_I r_I ow_E th_B r_I iy_E t_B uw_E sil f_B ao_I r_E ey_B t_E f_B ao_I r_E n_B ay_I n_E sil,
151,MAN_AR_228_Z47A,sil z_B iy_I r_I ow_E f_B ao_I r_E s_B eh_I v_I ah_I n_E sil,
152,MAN_AR_229_Z51A,sil z_B iy_I r_I ow_E f_B ay_I v_E hh_B w_I ah_I n_E sil,
153,MAN_AR_230_Z6ZA,sil z_B iy_I r_I ow_E s_B ih_I k_I s_E sil z_B iy_I r_I ow_E sil,
154,MAN_AR_231_ZA,sil z_B iy_I r_I ow_E sil,
155,MAN_AR_232_ZB,sil z_B iy_I r_I ow_E sil,
156,MAN_AT_233_3B,sil th_B r_I iy_E sil,
157,MAN_AT_234_6A,sil s_B ih_I k_I s_E sil,
158,MAN_AT_235_12857A,sil hh_B w_I ah_I n_E t_B uw_E ey_B t_E f_B ay_I v_E s_B eh_I v_I ah_I n_E sil, seven
159,MAN_AT_236_1394A,sil hh_B w_I ah_I n_E th_B r_I iy_E n_B ay_I n_E f_B ao_I r_E sil,
160,MAN_AT_237_14A,sil hh_B w_I ah_I n_E f_B ao_I r_E sil,
161,MAN_AT_238_1752O4OA,sil hh_B w_I ah_I n_E s_B eh_I v_I ah_I n_E f_B ay_I v_E sil t_B uw_E ow_S f_B ao_I r_E ow_S sil,
162,MAN_AT_239_18911A,sil hh_B w_I ah_I n_E ey_B t_E n_B ay_I n_E hh_B w_I ah_I n_E hh_B w_I ah_I n_E sil,
163,MAN_AT_240_1A,sil hh_B w_I ah_I n_E sil,
164,MAN_AT_241_1B,sil hh_B w_I ah_I n_E sil,
165,MAN_AT_242_2149A,sil t_B uw_E hh_B w_I ah_I n_E f_B ao_I r_E n_B ay_I n_E sil,
166,MAN_AT_243_2165482A,sil t_B uw_E hh_B w_I ah_I n_E s_B ih_I k_I s_E sil f_B ay_I v_E f_B ao_I r_E ey_B t_E t_B uw_E sil, five four eight two
167,MAN_AT_244_225A,sil t_B uw_E t_B uw_E f_B ay_I v_E sil,
168,MAN_AT_245_2461OA,sil t_B uw_E f_B ao_I r_E s_B ih_I k_I s_E hh_B w_I ah_I n_E ow_S sil, six
169,MAN_AT_246_29A,sil t_B uw_E n_B ay_I n_E sil,
170,MAN_AT_247_2A,sil t_B uw_E sil,
171,MAN_AT_248_2B,sil t_B uw_E sil,
172,MAN_AT_249_3184A,sil th_B r_I iy_E hh_B w_I ah_I n_E ey_B t_E f_B ao_I r_E sil,
173,MAN_AT_250_32O2A,sil th_B r_I iy_E t_B uw_E ow_S t_B uw_E sil, oh two
174,MAN_AT_251_33Z23A,sil th_B r_I iy_E th_B r_I iy_E z_B iy_I r_I ow_E t_B uw_E th_B r_I iy_E sil,
175,MAN_AT_252_387OA,sil th_B r_I iy_E ey_B t_E s_B eh_I v_I ah_I n_E ow_S sil, seven oh
176,MAN_AT_253_3A,sil th_B r_I iy_E sil,
177,MAN_AT_254_3O716A,sil th_B r_I iy_E ow_S s_B eh_I v_I ah_I n_E hh_B w_I ah_I n_E s_B ih_I k_I s_E sil,
178,MAN_AT_255_413A,sil f_B ao_I r_E sil hh_B w_I ah_I n_E th_B r_I iy_E sil, one three
179,MAN_AT_256_42ZA,sil f_B ao_I r_E t_B uw_E z_B iy_I r_I ow_E sil, zero
180,MAN_AT_257_43Z83A,sil f_B ao_I r_E th_B r_I iy_E z_B iy_I r_I ow_E ey_B t_E sil th_B r_I iy_E sil,
181,MAN_AT_258_4496O15A,sil f_B ao_I r_E f_B ao_I r_E n_B ay_I n_E sil s_B ih_I k_I s_E ow_S hh_B w_I ah_I n_E f_B ay_I v_E sil,
182,MAN_AT_259_4A,sil f_B ao_I r_E sil,
183,MAN_AT_260_4B,sil f_B ao_I r_E sil,
184,MAN_AT_261_4Z55268A,sil f_B ao_I r_E z_B iy_I r_I ow_E f_B ay_I v_E sil f_B ay_I v_E t_B uw_E s_B ih_I k_I s_E ey_B t_E sil, five two six eight
185,MAN_AT_262_51ZA,sil f_B ay_I v_E hh_B w_I ah_I n_E z_B iy_I r_I ow_E sil,
186,MAN_AT_263_537A,sil f_B ay_I v_E th_B r_I iy_E s_B eh_I v_I ah_I n_E sil,
187,MAN_AT_264_53A,sil f_B ay_I v_E th_B r_I iy_E sil,
188,MAN_AT_265_59356A,sil f_B ay_I v_E n_B ay_I n_E th_B r_I iy_E f_B ay_I v_E s_B ih_I k_I s_E sil,
189,MAN_AT_266_5A,sil f_B ay_I v_E sil,
190,MAN_AT_267_5B,sil f_B ay_I v_E sil,
191,MAN_AT_268_627A,sil s_B ih_I k_I s_E t_B uw_E s_B eh_I v_I ah_I n_E sil,
192,MAN_AT_269_6389Z9ZA,sil s_B ih_I k_I s_E th_B r_I iy_E ey_B t_E sil n_B ay_I n_E z_B iy_I r_I ow_E n_B ay_I n_E z_B iy_I r_I ow_E sil, nine zero
193,MAN_AT_270_63A,sil s_B ih_I k_I s_E th_B r_I iy_E sil,
194,MAN_AT_271_64A,sil s_B ih_I k_I s_E f_B ao_I r_E sil,
195,MAN_AT_272_69A,sil s_B ih_I k_I s_E n_B ay_I n_E sil,
196,MAN_AT_273_6B,sil s_B ih_I k_I s_E sil,
197,MAN_AT_274_722A,sil s_B eh_I v_I ah_I n_E t_B uw_E t_B uw_E sil, two two
198,MAN_AT_275_736883OA,sil s_B eh_I v_I ah_I n_E th_B r_I iy_E s_B ih_I k_I s_E sil ey_B t_E sil ey_B t_E sil th_B r_I iy_E ow_S sil, three six
199,MAN_AT_276_7647A,sil s_B eh_I v_I ah_I n_E s_B ih_I k_I s_E f_B ao_I r_E s_B eh_I v_I ah_I n_E sil, six four seven
200,MAN_AT_277_79A,sil s_B eh_I v_I ah_I n_E n_B ay_I n_E sil, nine
201,MAN_AT_278_7A,sil s_B eh_I v_I ah_I n_E sil,
202,MAN_AT_279_7B,sil s_B eh_I v_I ah_I n_E sil,
203,MAN_AT_280_7OA,sil s_B eh_I v_I ah_I n_E ow_S sil, oh
204,MAN_AT_281_81O91A,sil ey_B t_E hh_B w_I ah_I n_E ow_S n_B ay_I n_E hh_B w_I ah_I n_E sil, one
205,MAN_AT_282_81ZA,sil ey_B t_E hh_B w_I ah_I n_E z_B iy_I r_I ow_E sil,
206,MAN_AT_283_8429332A,sil ey_B t_E f_B ao_I r_E t_B uw_E sil n_B ay_I n_E th_B r_I iy_E th_B r_I iy_E t_B uw_E sil, two
207,MAN_AT_284_861A,sil ey_B t_E s_B ih_I k_I s_E hh_B w_I ah_I n_E sil,
208,MAN_AT_285_87585Z1A,sil ey_B t_E s_B eh_I v_I ah_I n_E f_B ay_I v_E sil ey_B t_E f_B ay_I v_E z_B iy_I r_I ow_E hh_B w_I ah_I n_E sil, eight five zero
209,MAN_AT_286_8A,sil ey_B t_E sil,
210,MAN_AT_287_8B,sil ey_B t_E sil,
211,MAN_AT_288_9278A,sil n_B ay_I n_E t_B uw_E s_B eh_I v_I ah_I n_E ey_B t_E sil, seven eight
212,MAN_AT_289_9286ZA,sil n_B ay_I n_E t_B uw_E ey_B t_E s_B ih_I k_I s_E z_B iy_I r_I ow_E sil, eight six zero
213,MAN_AT_290_951A,sil n_B ay_I n_E f_B ay_I v_E hh_B w_I ah_I n_E sil,
214,MAN_AT_291_9A,sil n_B ay_I n_E sil,
215,MAN_AT_292_9B,sil n_B ay_I n_E sil,
216,MAN_AT_293_9O66OA,sil n_B ay_I n_E ow_S s_B ih_I k_I s_E s_B ih_I k_I s_E ow_S sil,
217,MAN_AT_294_9ZA,sil n_B ay_I n_E z_B iy_I r_I ow_E sil,
218,MAN_AT_295_O15OA,sil ow_S hh_B w_I ah_I n_E f_B ay_I v_E ow_S sil, five oh
219,MAN_AT_296_O59A,sil ow_S f_B ay_I v_E n_B ay_I n_E sil,
220,MAN_AT_297_O882A,sil ow_S ey_B t_E ey_B t_E t_B uw_E sil, two
221,MAN_AT_298_O98A,sil ow_S n_B ay_I n_E ey_B t_E sil,
222,MAN_AT_299_OA,sil ow_S sil,
223,MAN_AT_300_OB,sil ow_S sil,
224,MAN_AT_301_OO37O72A,sil ow_S ow_S th_B r_I iy_E sil s_B eh_I v_I ah_I n_E ow_S s_B eh_I v_I ah_I n_E t_B uw_E sil, oh seven two
225,MAN_AT_302_Z119A,sil z_B iy_I r_I ow_E hh_B w_I ah_I n_E hh_B w_I ah_I n_E n_B ay_I n_E sil, one
226,MAN_AT_303_Z6778Z8A,sil z_B iy_I r_I ow_E s_B ih_I k_I s_E s_B eh_I v_I ah_I n_E sil s_B eh_I v_I ah_I n_E ey_B t_E z_B iy_I r_I ow_E ey_B t_E sil,
227,MAN_AT_304_Z7962A,sil z_B iy_I r_I ow_E s_B eh_I v_I ah_I n_E n_B ay_I n_E s_B ih_I k_I s_E t_B uw_E sil,
228,MAN_AT_305_Z7A,sil z_B iy_I r_I ow_E s_B eh_I v_I ah_I n_E sil,
229,MAN_AT_306_ZA,sil z_B iy_I r_I ow_E sil,
230,MAN_AT_307_ZB,sil z_B iy_I r_I ow_E sil,
231,MAN_AT_308_ZZA,sil z_B iy_I r_I ow_E z_B iy_I r_I ow_E sil,
232,MAN_BC_309_3ZA,sil th_B r_I iy_E z_B iy_I r_I ow_E sil,
233,MAN_BC_310_6A,sil s_B ih_I k_I s_E sil,
234,MAN_BC_311_147OOA,sil hh_B w_I ah_I n_E f_B ao_I r_E s_B eh_I v_I ah_I n_E ow_S ow_S sil,
235,MAN_BC_312_14O1A,sil hh_B w_I ah_I n_E f_B ao_I r_E ow_S hh_B w_I ah_I n_E sil,
236,MAN_BC_313_15ZZ277A,sil hh_B w_I ah_I n_E f_B ay_I v_E z_B iy_I r_I ow_E z_B iy_I r_I ow_E t_B uw_E s_B eh_I v_I ah_I n_E s_B eh_I v_I ah_I n_E sil, zero two seven seven
237,MAN_BC_314_187ZA,sil hh_B w_I ah_I n_E ey_B t_E s_B eh_I v_I ah_I n_E z_B iy_I r_I ow_E sil, zero
238,MAN_BC_315_1A,sil hh_B w_I ah_I n_E sil,
239,MAN_BC_316_1B,sil hh_B w_I ah_I n_E sil,
240,MAN_BC_317_1O35217A,sil hh_B w_I ah_I n_E ow_S th_B r_I iy_E f_B ay_I v_E t_B uw_E hh_B w_I ah_I n_E s_B eh_I v_I ah_I n_E sil, three five two
241,MAN_BC_318_21A,sil t_B uw_E hh_B w_I ah_I n_E sil,
242,MAN_BC_319_226A,sil t_B uw_E t_B uw_E s_B ih_I k_I s_E sil,
243,MAN_BC_320_25ZA,sil t_B uw_E f_B ay_I v_E z_B iy_I r_I ow_E sil, zero
244,MAN_BC_321_2A,sil t_B uw_E sil,
